COVINGTON CHAMBER OF COMMERCE — CONTACT LIST
Generated: February 23, 2026
================================================================================


EMAIL DISTRIBUTION LIST (139 contacts)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  Above It All Travel                                       sconwell@dreamvacations.com
  Actualize Your Full Potential, LLC                        info@actualizeyourfullpotential.com
  Alzheimer's Assoc.                                        inquirywa@alz.org
  American Family Insurance                                 mclaughlinandassociates@amfam.com
  Apple Blossom Gift Baskets                                appleblossomgiftbaskets@gmail.com
  Auto-Chlor System                                         cieslikow@autochlor.com
  BECU Covington                                            teri.cox@becu.org
  Better Properties Covington                               sstewart@betterproperties.com
  Bicycle Rescue for Youth                                  bradb@bicyclerescueforyouth.org
  Birthday Dreams                                           info@birthdaydreams.org
  Bloodworks Northwest                                      nblair@bloodworksnw.org
  British Swim School of South Renton - Covington           elif.mokran@britishswimschool.com
  C and B Awards & Apparel                                  info@candbawards.com
  Cafe Pacific Catering                                     office@cafepacific.com
  Cascade Human Resources                                   cheyanne@cascade-hr.com
  Children's Therapy Center                                 nichelle.brown@ctckids.org
  City of Covington                                         kbates@covingtonwa.gov
  Communities In Schools of South King County               info@cisskc.org
  Covington Aquatic Center                                  sdalsanto@covingtonwa.gov
  Covington Community Church                                covingtonccinfo@gmail.com
  Covington Complete Dentistry                              covingtoncompletedentistry@gmail.com
  Covington Library                                         pbodle@kcls.org
  Covington Place                                           covingtonplacemanager@gmail.com
  Covington Reporter                                        shane.gillispie@federalwaymirror.com
  Covington Water District                                  thomas.keown@covingtonwater.com
  Crumbl Cookies                                            covington@crumbl.com
  Dahlia Nails                                              dahlianails2024@gmail.com
  Daman Khatra                                              khatra03@icloud.com
  Daniel Ross Salon & Skin Care, Inc.                       info@danielrosssalon.com
  Diana + Cory | The Patterson Team                         dianapatterson@windermere.com
  Dino Kid's Dentistry                                      info@dinokidsdentistry.com
  Do The Right Thing                                        onthegogirl2day@gmail.com
  Edline-Yahn & Covington Funeral Chapel                    edline-yahn@hotmail.com
  EDM Consulting LLC                                        erica@mybizplanner.com
  Edward Jones Investments - Bryan LaBelle                  bryan.labelle@edwardjones.com
  Edward Jones Investments - Dave Wilson                    dave.w.wilson@edwardjones.com
  Edward Jones Investments - Mark Greynerovich              mark.greynerovich@edwardjones.com
  Edward Jones Investments - Scott F Beusch                 scott.beusch@edwardjones.com
  Edward Jones Investments - Stephanie Hawes                stephanie.hawes@edwardjones.com
  Eileen & Callie's Place                                   eileenandcallie@gmail.com
  Elk Run Farm                                              elkrunfarm@skcfc.org
